storey_range,floor_area_sqm,no.of bto,resale application,remaining_lease_months,Distance to nearest MRT,Distance to CBD,isMatureEstate,over_under_classification
8,122.0,7314,26436.0,787,693.7917921,4275.515708,1,0
17,115.0,7314,26436.0,962,315.6499355,3713.676786,1,0
8,126.0,7314,26436.0,888,472.5682905,3368.433868,1,1
23,123.0,7314,26436.0,670,201.6947033,4205.950039,1,1
8,110.0,7314,26436.0,986,755.5705776,4443.211322,1,1
26,117.0,7314,26436.0,668,819.1406918,2839.671017,1,0
2,73.0,7314,26436.0,814,1365.937171,13702.12801,0,0
17,68.0,7314,26436.0,1139,1268.446547,14184.44941,0,0
5,68.0,7314,26436.0,1139,1268.446547,14184.44941,0,0
2,73.0,7314,26436.0,815,1003.973165,13392.41117,0,1
5,73.0,7314,26436.0,808,808.4595525,13755.77313,0,1
5,73.0,7314,26436.0,809,904.6356476,13592.44253,0,1
5,73.0,7314,26436.0,822,803.6787825,13528.85791,0,1
14,67.0,7314,26436.0,1134,1374.35137,14740.75406,0,0
14,67.0,7314,26436.0,1134,1326.930348,14725.17369,0,0
11,67.0,7314,26436.0,1127,1526.262147,14563.6682,0,0
14,67.0,7314,26436.0,1134,1374.35137,14740.75406,0,0
17,67.0,7314,26436.0,1139,1393.11083,14815.46742,0,0
17,67.0,7314,26436.0,1139,1393.11083,14815.46742,0,0
14,67.0,7314,26436.0,1139,1393.11083,14815.46742,0,0
8,104.0,7314,26436.0,816,1407.127622,13384.44824,0,0
2,103.0,7314,26436.0,822,1300.669115,13552.84656,0,0
8,103.0,7314,26436.0,816,1410.713152,13707.20043,0,0
8,101.0,7314,26436.0,941,438.50781,14591.01477,0,0
14,106.0,7314,26436.0,810,1089.519068,13663.11406,0,0
8,84.0,7314,26436.0,815,1238.804637,14410.41486,0,0
8,101.0,7314,26436.0,917,1212.021889,14065.83563,0,0
11,104.0,7314,26436.0,813,693.4670765,14140.66721,0,0
2,104.0,7314,26436.0,826,1135.485376,14123.23629,0,0
8,104.0,7314,26436.0,825,1089.729005,14134.49122,0,0
5,100.0,7314,26436.0,928,460.8099179,14041.61514,0,1
8,103.0,7314,26436.0,924,873.1011024,14529.08184,0,0
5,90.0,7314,26436.0,929,1260.370257,14628.53183,0,0
14,101.0,7314,26436.0,936,756.2956625,14647.49849,0,0
23,100.0,7314,26436.0,940,589.360915,14692.56639,0,0
17,103.0,7314,26436.0,927,758.49062,14388.63955,0,0
8,100.0,7314,26436.0,940,589.360915,14692.56639,0,0
14,101.0,7314,26436.0,921,484.456126,14148.64083,0,1
20,90.0,7314,26436.0,971,451.8082118,14281.72672,0,0
5,90.0,7314,26436.0,971,451.8082118,14281.72672,0,1
8,90.0,7314,26436.0,971,389.6433076,14309.28188,0,1
2,104.0,7314,26436.0,813,715.3077391,13554.4519,0,0
8,84.0,7314,26436.0,797,1159.623962,13224.77673,0,0
11,103.0,7314,26436.0,815,1128.696508,13073.74589,0,0
20,103.0,7314,26436.0,931,422.7868493,14079.96167,0,1
2,102.0,7314,26436.0,931,355.5864172,14124.58522,0,1
5,104.0,7314,26436.0,807,1236.059213,13029.45256,0,0
8,84.0,7314,26436.0,815,864.9588702,14277.70891,0,1
2,84.0,7314,26436.0,814,864.9588702,14277.70891,0,0
11,93.0,7314,26436.0,1128,1594.207081,14591.94897,0,0
11,93.0,7314,26436.0,1136,1397.57555,14416.69248,0,0
11,92.0,7314,26436.0,1139,1406.761448,14852.14414,0,0
8,92.0,7314,26436.0,980,1658.859235,14570.30457,0,0
14,93.0,7314,26436.0,1136,1479.980311,14442.47567,0,0
5,93.0,7314,26436.0,1102,1457.734058,14524.54217,0,0
5,92.0,7314,26436.0,1128,1594.207081,14591.94897,0,0
11,93.0,7314,26436.0,1135,1486.64047,14386.05586,0,0
5,90.0,7314,26436.0,978,1547.934961,14336.0594,0,0
14,92.0,7314,26436.0,1127,1548.988553,14620.78656,0,0
11,93.0,7314,26436.0,1135,1479.980311,14442.47567,0,0
11,93.0,7314,26436.0,1102,1381.387376,14475.68354,0,0
14,92.0,7314,26436.0,1139,1393.11083,14815.46742,0,0
5,90.0,7314,26436.0,975,1628.891911,14422.65746,0,0
8,93.0,7314,26436.0,1135,1397.57555,14416.69248,0,0
2,90.0,7314,26436.0,975,1628.891911,14422.65746,0,0
14,93.0,7314,26436.0,1135,1397.57555,14416.69248,0,0
8,92.0,7314,26436.0,980,1658.859235,14570.30457,0,0
11,93.0,7314,26436.0,1138,942.0725264,15362.38465,0,0
20,93.0,7314,26436.0,1138,942.0725264,15362.38465,0,1
23,99.0,7314,26436.0,940,202.5282353,14578.35454,0,1
5,93.0,7314,26436.0,1138,942.0725264,15362.38465,0,1
23,92.0,7314,26436.0,1138,1017.923355,15399.4389,0,1
8,92.0,7314,26436.0,1138,1017.923355,15399.4389,0,1
8,93.0,7314,26436.0,1137,942.0725264,15362.38465,0,0
